Review,Summary,Sentiment
useless product,bad product fan,0.0
unsatisfactori,bad cooler,0.0
expect better product,bad qualiti,0.0
wast money,small wire moter capac low fan speed good flow vent hole lower part cooler difficult chang water,0.0
nice,receiv dalay 10 day cooler ok reveiv switch damag,0.0
worst experi ever,cooler provid cool air 1year experi,0.0
like assembl one get 4.5k cheap qualiti,qualiti product1 wood wool start fall next day2 two led indic found work arrival3 air swinger alreadi give nois move never use old cooler use sinc 3 years4 qualiti way machin brand coolers5 anti bacteri tank bacteri way clean congest maintain cleanlyin way think buyac option aut,0.0
good,poar qualiti plastic materi good,0.0
slightli disappoint,dont buy se comment dont know peopl review rate product cool ok come fill water would need inlet pipe fill water open backsid fill waterclean highli imposs way open clean worst design small small brand compani provid facil worst product design total unhappi product,0.0
horribl,cool fan problem,0.0
poor,dont buy product within 15 year wind blade broken nois issu wind blow low better go brand,0.0
useless product,worst product fan speed slowlik noth,0.0
unsatisfactori,bad servic flipkart custom care repres jeev agent much bad perform cool like stand fan,0.0
unsatisfactori,low air cool axcpect,0.0
absolut rubbish,water inlet good,0.0
okay,good,0.0
perfect product,work motor bad poor maharaja cooler,0.0
okay,product qualiti bad fan blade broken air flow averag,0.0
worthless,cooler cool room,0.0
poor,satisfi cool bad cool,0.0
poor,useless servic,0.0
worst experi ever,ur stay hot citi wast dont buy,0.0
nice,cooler good dirti smell,0.0
absolut rubbish,effect cool fan area effect also narrow ideal return,0.0
hate,bad product water tank suffici day tank empti 4 hour open easili clean,0.0
absolut rubbish,wast money,0.0
unsatisfactori,god air thorw god qualiti accept,0.0
nice,air throw weak,0.0
recommend,bad product bad qualiti low air flow use product waist money 100 time think purchas product product r refund flipkart assist misguid,0.0
hate,poor product heavi smell room receiv damag,0.0
meet expect,deliv product time demo done even two week amount alreadi deduct complaint rais drag done 24 hour mani 24 48 hour gone,0.0
poor,extrem horribl servicedo order,0.0
horribl,worst product dont wast money,0.0
decent product,blade cooler fan broken,0.0
badli disappoint,air deliveri bad even cool 10x13 room,0.0
terribl product,worst model user pleas dont buy,0.0
unsatisfactori,good,0.0
okay,good bt without wheel stand difficult move,0.0
good,worst,0.0
utterli disappoint,poor qualiti product dont buy,0.0
terribl product,worst product,0.0
job,plastic qualiti strong symphoni cooler,0.0
decent product,upto review build level bulki quit noisi lack wheel biggest disadvantag buy risk happi overal,0.0
meet expect,nonetheless give feel ac,0.0
absolut rubbish,product cool much written advertis happi product,0.0
job,air flow good,0.0
nice,stand littl noisi cooler,0.0
moder,cool,0.0
poor,expect speed cool product,0.0
horribl,wheel move coolerit hard place cooler fill waterhorr experiencedont go,0.0
okay,unabl open chang water grass,0.0
horribl,dont buy one,0.0
value-for-money,first thing cooler silent lowest speed nois minimalsecond thing equival 1015000 price cooler,0.0
terribl product,doubt good price,0.0
utterli disappoint,dont buy product total wast money time fan speed slowli decreas cool good consist,0.0
classi product,good stand that much desopoint,0.0
recommend,good water leak one month return period,0.0
hate,support shell warranti,0.0
recommend,send damag product dont buy,0.0
utterli disappoint,item vri bad hate flipcart item watch,0.0
brilliant,good productbuy worst,0.0
bad qualiti,speed good slow,0.0
horribl,wast money dont buy,0.0
recommend,unhappi,0.0
fair,cooler bodi weak,0.0
poor,bad,0.0
utterli disappoint,defect product,0.0
terrif,nice product one problem brod size,0.0
bad qualiti,poor air throw dont go review present even throw till 15 ft,0.0
moder,bad product noic servic man bad responsei hate product buy wast money,0.0
n't wast money,capac cooler 65lt water indic work,0.0
good,nice room cool dont know,0.0
utterli disappoint,bad qualiti product,0.0
terribl product,worst cool normal tabl fan better compar cool,0.0
n't wast money,absolut useless product pleas never buy even technician come check product work still exchang accept big scam flipkart total disgrac,0.0
good,nois time lightli bad smell actual proper cool,0.0
realli nice,provid trolley wheel stand along cooler would awsom 5star product bit difficult find stand particular model jumbo one,0.0
hate,good mention,0.0
wast money,worst cooler ever poor cool fan speed slow even normal ceil fan provid better air worst product maharaja flipkart sad part refund money well replac option availableveri disappoint flipkart,0.0
worst experi ever,worst,0.0
decent product,mark didplay front side l1 l2 blink displayingbut miss productfan speed expect cool also lessfeel humid room experi averag product give 3 5bi see previou review experi bought dont recommend other,0.0
good qualiti product,good qualiti product cool superb water fill water pipe nice design power main switch direct power switch extra cooler stand requir,0.0
simpli awesom,well bulid qualiti excel cool air water pump good,0.0
terribl product,1 month fan blade broken suddenli noisi vibrat cooler,0.0
worthless,worst experi flipkart,0.0
horribl,bad bad qualiti bad courier servic,0.0
worthless,bad product total vest money,0.0
terribl product,work properli abl return also verri bad product return product caus work properli peopl choic book differ one bad product,0.0
hate,larg sizecool low,0.0
utterli disappoint,bodi veey poor,0.0
recommend,maharaja cooler poor coleti,0.0
good,worthi,0.0
simpli awesom,fan speed good cool goodand size also big space taken smell come honeycomb padso im happi,0.0
moder,bad product,0.0
moder,cooler averag small size costli rather market,0.0
nice,nice product flipcart delay deliveri 10 day,0.0
hate,worst product,0.0
wast money,big worst perform total money wast,0.0
n't wast money,water pump throw lot water that throw warm air satisfi kind pump qualiti paid lot worth money work ice chamber need partial refund,0.0
nice,bad ever packag flipkart seen open outer layer alreadi open look like use product air throw qualiti good expect water meter top water tank want see minimum level water u fill atlest 50 liter water support air wing cover much area overal ok satisfi,0.0
value-for-money,crompton offer rang cooler ozon multipl capac water tank though fan motor air flow capac remain case bought 88 litr model satisfi cool castor wheel strong enough weight 88 litr fill water tank suggest go 75 litr instead 88 litr variant,0.0
unsatisfactori,vertic swing qualiti bad set upward automat goe due air goe cant set direct wantvert swing uselesswat fill open box small u fill jug mani water goe outsid cooler ice chamber useless ice cube water goe 88 liter chamber ice cool 88 ltr ice chamber need direct connect honeycomb pad slide cool instantlyit make nois,0.0
utterli disappoint,never purchas cooler flipkartmi 10500 wastedpump work honey comb drynot give cool airth slider also work manual go minut give air downwardi regular flipkart custom trust flipkart cooler purchas experi hate flipkart ill never order flipkart request return 7 day replac polici buttechnician came,0.0
unsatisfactori,air throw disappointingi thought good cooler mention 450sq feet cant even cool littl 150sq feet room 40 degre temp also tri way ventil alway creat humid that bad part suggest dont buy even buy local brand cooler show far better,0.0
meet expect,old model dont outlet drain dirti water clean manual lot physic work usual water becom stinki month remov screw use motor pump water screw stainless steel get rust easili make difficult remov wheel get stuck within month there manual remov clean honeycomb posit point air throw capac abil cool,0.0
n't wast money,baught cooler look number review rate alway expect cooler built qualiti good main function cool design defect water suppli channel design defect none honeycomb panel get wet complet henc cool effect less peopl may notic rel hot place like pune mumbai bangalor etc would recommend product,0.0
okay,great product finish product look like brand one look like ordinari roadsid product expect type product crompton share view 2 day usag 3 star price go symphoni trust worthi,0.0
great product,cool excel even larg hall deliveri product realli fast got item 2day first time experienc fast deliveri pack product good time god damag found coolercons1 cool room fast2 air flow also good3 fan blade made metal blade doesnt bend cooler running4 motor also made crompton5 ice ad chamber also realli cool6 coaster wheel realli,0.0
meet expect,good bodi deliveri product safe get break work also good,0.0
excel,nice cooler cool quick didnt get manual book packag littl damag seller dhamakad,0.0
decent product,cool ok smell bad,0.0
recommend,cooler wonder would say best desert cooler buy flipkart pack worst way possibl deliveri guy keep tampo lot load iti receiv broken productand know difficult get replac time custom care repres get pay apolog supervisormanag even case escal manag sorri share youbuy cooler flipkart,0.0
product chang,buy product 55 dessert total sent anoth product still cant returned5 time technician visit postpon time automat return reject flipkart call flipkart custom care agre problem still product cant retu,0.0
item good delhiveri courier servic worst,item good deliveri servic flipkart delhiveri courier servic worst,0.0
worthless,like product fan doesnt work properli engin come give fals hope parent return back anf guy cancel refund ridicul wast productjeev flipkart dupe us big time,0.0
mind-blow purchas,prosbuild qualiti look excellentfan speed cool phenomenalwat last entir day full tanknois acceptableair throw wide sharpwheel tough enoughvalu money undoubtedli extrem recommendedconspackag could betterdeliveri period longmor 5 daysbehavior deliveri boy rude illiteraterobberwa demand extra money deliv time,0.0
absolut rubbish,water pump work,0.0
meet expect,receiv defect product auto swing work properli better purchas product shopmarket u replac product within singl day case gave given 12day pickup time,0.0
useless product,product wise finebut time deliveri servic pathet,0.0
good qualiti product,product receiv good air flow confus less coll 810 room feel cool,0.0
worst deliveri flipkart,deliv promis deliveri person ask us pick expens around 20 km,0.0
hate,bad qualiti poor plastic materi cheap product show fr 17k discount sell fr 10k still costli per product receiv fool peopl name brand third class product much disappoint flipkart request return refund day refund request reject forc replac product never buy crompton use flipkart buy,0.0
slightli disappoint,cool wise good take nois noisi water drop nois irrit youalso come honey comb pad big disadvantag insect easili inter holein price rang go bluestar windu cooler come hybrid pad,0.0
poor,realli bad experi flipkart time deliveri person want deliv item road rather mention address,0.0
wast money,worst produc air flow speed slow cooler outer bodi like alreadi usedit expect flipkart,0.0
damag,got damag one,0.0
n't wast money,bad machin pleas dont buy take leav offic get repair within 5 month suffer pleas ignor cooler,0.0
awesom,nice wheel qualiti low,0.0
worthless,useless ice tray ice tray water goe water fill contain obvious 100 ml cold wouldnt gon na cool 75 liter water,0.0
realli nice,cooler cool good littl noisi honey comb pad get dirti almost imposs clean,0.0
recommend,good,0.0
wast money,work after3 month,0.0
meet expect,qualiti good,0.0
could way better,good,0.0
meet expect,grill good,0.0
super,review two contion must read buy electron product humbl request purchas two crompton cooler flipkart 1 75 litr date 10 april 2022 work properli nd happi cooler purchas cooler crompton 88 ltr order date 18juli 2022 deliveri date 28 juli deliv 30 juli 2022 instal 1 aug 2022 day found leakag problem regist complain replac 1 aug 2022 compani say technic,0.0
expect better product,10 day gone still cooler give stink air,0.0
okay,cooler work well good water storag capac work whole night fill two wheel depress littl notic day instal find realli difficult move cooler one place,0.0
expect better product,1 month usag pump stop work,0.0
good,expect,0.0
good,good product,0.0
meet expect,bad productno cool poor bad product,0.0
hate,fan motor stop function within week,0.0
good,honey comb bad qualityit smell bad,0.0
horribl,worst product dont buy,0.0
expect better product,ok product instal process worst,0.0
expect better product,cool good,0.0
unsatisfactori,low cool low rom,0.0
wast money,bad experi cooler god price high,0.0
okay,fan motor qualiti good problem cooler bodi plastic strong vent front problemat horizont plastic piec remain place lead less air flow big let request crompton replac plastic mesh futur rest bodi also quit shaki,0.0
absolut rubbish,bed cooler sound much,0.0
hate,cool proper,0.0
recommend,moni wast ear,0.0
good,heavi nois front fin qualiti worst road side cooler front fin qualiti much better cooler wort,0.0
slightli disappoint,cool good,0.0
wast money,leakag problem,0.0
terribl product,wast product,0.0
slightli disappoint,provid proper cool,0.0
job,good cool fine part cooler made cheap plastic biggest disadvantag sound even lowest speed sound quit high,0.0
slightli disappoint,good cool,0.0
slightli disappoint,motor speed slow use 1week,0.0
recommend,bad air throw also cool proper ventil room given much humid,0.0
wast money,properli work,0.0
moder,air throw distanc low,0.0
okay,cool good said compani,0.0
fair,wheel defect,0.0
absolut rubbish,wast moneyair 5 feetdont buy,0.0
meet expect,suffici air stand front cooler get otherwis air,0.0
bad qualiti,crompton ozon desert air cooler horizont flap work properly1 serv purpos cool better expected2 smell wors cant enter room switch one hour cant explain situat even cool room cant stay use all3 water outlet fill 75 ltr effort bad smell come water turn greenish way releas water,0.0
meet expect,worst product pl buy,0.0
terribl product,good expect,0.0
nice,work minimum 3monthsmoney n time west bad compani,0.0
n't wast money,flipkart alway dispoint,0.0
fair,crompton 88l air cooler problem front panel air also flow downward stip hold,0.0
okay,front grill loos,0.0
worst experi ever,qualiti wheel markget broken within 15 day,0.0
n't wast money,dont buy product flipkart receiv damag product replac product even replac got product replac,0.0
hate,good,0.0
horribl,work properli 1 month,0.0
