Review,Summary
Worth every penny,I love this product more than my wife.READ MORE
Great product,Very attractive look and good features. I love it. go ahead for best quality in affordable price.READ MORE
Perfect product!,"Great for workouts: l have been using DuoPods during my workouts, and they stay in place perfectly. They are sweat-resistant and the sound is incredible. The battery life also holds up well, even during long sessions. Totally worth it!READ MORE"
Worth every penny,"Super Earbuds. The sound is clear with good bass, and they fit comfortably. The battery easily lasts more than three days, and the compact charging case is handy. Pairing is easy, and the connection is stable. Touch controls work well, and the case and earphones have a gloosy finish which really looks good Overall, a solid choice for everyday use.READ MORE"
Mind-blowing purchase,Very nice product ever as well as good looking and sound quality is also good 👍.READ MORE
Horrible,I am writing this after 1 week.Only good design and bass.These buds annoying alot.These automatically volumes up continuously. If you don't switch it off they will do same continuously.And sometimes do not connect my phone .And now after 1 week right bud is not working.READ MORE
Super!,GoodREAD MORE
Fabulous!,Good quality productREAD MORE
Perfect product!,"Amazing product at this price and performance is excellent and battery life is amazing and it is verycomfortable and call quality is very good and its support fast charging and easy to use.They have a sleek design and fit comfortably in my ears. The sound quality is impressive and punchy bass.The touch controls are intuitive, making it simple to manage music and calls.Thanks Flipkart for delivery on time👍READ MORE"
Awesome,Nice product  worthy to buyREAD MORE
Bad quality,1 buds not connected.. and not working. Pls replace it.READ MORE
Perfect product!,"MIVI Duopods i6 has 3D Soundstage, High Fidelity Drivers, ACC, ENC, etc. most importantly high bass and dual pairing feature at this price range is amazing. Recommended to buy!!READ MORE"
Just wow!,Nice productREAD MORE
Just wow!,The product is just amazing.READ MORE
Good choice,Nice product 😊READ MORE
Good choice,This buds sound quality is very good and experience with this buds is nice and battery backup is long time.READ MORE
Good choice,Amazing sound quality and value for money.READ MORE
Great product,Just one word..Its next level of sound. Well balanced sound treble and bass. Design is awesome fitted perfectly.My first product from mivi andThumps up for this.READ MORE
Could be way better,"It's really uncomfortable in ear, after using for long time it's causes pain, and the battery backup is too bad,and the battery draining in both pods are different.READ MORE"
Mind-blowing purchase,Very nice product. Sound quality is osm . Design and look also very attractive. Main point battery backup is osm . Proper combination of sound and bass .READ MORE
Worth every penny,I love this product more than my wife.READ MORE
Great product,Very attractive look and good features. I love it. go ahead for best quality in affordable price.READ MORE
Perfect product!,"Great for workouts: l have been using DuoPods during my workouts, and they stay in place perfectly. They are sweat-resistant and the sound is incredible. The battery life also holds up well, even during long sessions. Totally worth it!READ MORE"
Worth every penny,"Super Earbuds. The sound is clear with good bass, and they fit comfortably. The battery easily lasts more than three days, and the compact charging case is handy. Pairing is easy, and the connection is stable. Touch controls work well, and the case and earphones have a gloosy finish which really looks good Overall, a solid choice for everyday use.READ MORE"
Mind-blowing purchase,Very nice product ever as well as good looking and sound quality is also good 👍.READ MORE
Horrible,I am writing this after 1 week.Only good design and bass.These buds annoying alot.These automatically volumes up continuously. If you don't switch it off they will do same continuously.And sometimes do not connect my phone .And now after 1 week right bud is not working.READ MORE
Super!,GoodREAD MORE
Fabulous!,Good quality productREAD MORE
Perfect product!,"Amazing product at this price and performance is excellent and battery life is amazing and it is verycomfortable and call quality is very good and its support fast charging and easy to use.They have a sleek design and fit comfortably in my ears. The sound quality is impressive and punchy bass.The touch controls are intuitive, making it simple to manage music and calls.Thanks Flipkart for delivery on time👍READ MORE"
Awesome,Nice product  worthy to buyREAD MORE
Bad quality,1 buds not connected.. and not working. Pls replace it.READ MORE
Perfect product!,"MIVI Duopods i6 has 3D Soundstage, High Fidelity Drivers, ACC, ENC, etc. most importantly high bass and dual pairing feature at this price range is amazing. Recommended to buy!!READ MORE"
Just wow!,Nice productREAD MORE
Just wow!,The product is just amazing.READ MORE
Good choice,Nice product 😊READ MORE
Good choice,This buds sound quality is very good and experience with this buds is nice and battery backup is long time.READ MORE
Good choice,Amazing sound quality and value for money.READ MORE
Great product,Just one word..Its next level of sound. Well balanced sound treble and bass. Design is awesome fitted perfectly.My first product from mivi andThumps up for this.READ MORE
Could be way better,"It's really uncomfortable in ear, after using for long time it's causes pain, and the battery backup is too bad,and the battery draining in both pods are different.READ MORE"
Mind-blowing purchase,Very nice product. Sound quality is osm . Design and look also very attractive. Main point battery backup is osm . Proper combination of sound and bass .READ MORE
Worth every penny,I love this product more than my wife.READ MORE
Great product,Very attractive look and good features. I love it. go ahead for best quality in affordable price.READ MORE
Perfect product!,"Great for workouts: l have been using DuoPods during my workouts, and they stay in place perfectly. They are sweat-resistant and the sound is incredible. The battery life also holds up well, even during long sessions. Totally worth it!READ MORE"
Worth every penny,"Super Earbuds. The sound is clear with good bass, and they fit comfortably. The battery easily lasts more than three days, and the compact charging case is handy. Pairing is easy, and the connection is stable. Touch controls work well, and the case and earphones have a gloosy finish which really looks good Overall, a solid choice for everyday use.READ MORE"
Mind-blowing purchase,Very nice product ever as well as good looking and sound quality is also good 👍.READ MORE
Horrible,I am writing this after 1 week.Only good design and bass.These buds annoying alot.These automatically volumes up continuously. If you don't switch it off they will do same continuously.And sometimes do not connect my phone .And now after 1 week right bud is not working.READ MORE
Super!,GoodREAD MORE
Fabulous!,Good quality productREAD MORE
Perfect product!,"Amazing product at this price and performance is excellent and battery life is amazing and it is verycomfortable and call quality is very good and its support fast charging and easy to use.They have a sleek design and fit comfortably in my ears. The sound quality is impressive and punchy bass.The touch controls are intuitive, making it simple to manage music and calls.Thanks Flipkart for delivery on time👍READ MORE"
Awesome,Nice product  worthy to buyREAD MORE
